OG000000,Ap_ca_Pber_PBANKA_0902400.1
OG000080,Ap_ca_Pber_PBANKA_0211900.1
OG000081,Ap_ca_Pber_PBANKA_0819100.1
OG000082,Ap_ca_Pber_PBANKA_1323700.1
OG000083,Ap_ca_Pber_PBANKA_0314700.1
OG000084,Ap_ca_Pber_PBANKA_1348400.1
OG000085,Ap_ca_Pber_PBANKA_1321200.1
OG000086,Ap_ca_Pber_PBANKA_1013300.1
OG000087,Ap_ca_Pber_PBANKA_0209700.1
OG000088,Ap_ca_Pber_PBANKA_1028200.1
OG000089,Ap_ca_Pber_PBANKA_0928500.1
OG000091,Ap_ca_Pber_PBANKA_1144600.1
OG000092,Ap_ca_Pber_PBANKA_0817700.1
OG000094,Ap_ca_Pber_PBANKA_1202200.1
OG000095,Ap_ca_Pber_PBANKA_0402400.1
OG000096,Ap_ca_Pber_PBANKA_1105100.1
OG000097,Ap_ca_Pber_PBANKA_1127800.1
OG000099,Ap_ca_Pber_PBANKA_1117000.1
OG000100,Ap_ca_Pber_PBANKA_0824100.1
OG000102,Ap_ca_Pber_PBANKA_1010600.1
OG000103,Ap_ca_Pber_PBANKA_1024300.1
OG000104,Ap_ca_Pber_PBANKA_0826300.1
OG000106,Ap_ca_Pber_PBANKA_1206200.1
OG000110,Ap_ca_Pber_PBANKA_1429400.1
OG000111,Ap_ca_Pber_PBANKA_0807000.1
OG000112,Ap_ca_Pber_PBANKA_0207000.1
OG000113,Ap_ca_Pber_PBANKA_1128600.1
OG000114,Ap_ca_Pber_PBANKA_1352500.1
OG000116,Ap_ca_Pber_PBANKA_0712900.1
OG000117,Ap_ca_Pber_PBANKA_0312400.1
OG000118,Ap_ca_Pber_PBANKA_1409900.1
OG000119,Ap_ca_Pber_PBANKA_0815700.1
OG000120,Ap_ca_Pber_PBANKA_1207200.1
OG000121,Ap_ca_Pber_PBANKA_0607400.1
OG000122,Ap_ca_Pber_PBANKA_1420600.1
OG000123,Ap_ca_Pber_PBANKA_0702800.1
OG000124,Ap_ca_Pber_PBANKA_1128500.1
OG000125,Ap_ca_Pber_PBANKA_1023900.1
OG000126,Ap_ca_Pber_PBANKA_0402300.1
OG000127,Ap_ca_Pber_PBANKA_1036200.1
OG000128,Ap_ca_Pber_PBANKA_0906300.1
OG000129,Ap_ca_Pber_PBANKA_0944081.1
OG000130,Ap_ca_Pber_PBANKA_1439200.1
OG000131,Ap_ca_Pber_PBANKA_0926600.1
OG000132,Ap_ca_Pber_PBANKA_1438000.1
OG000133,Ap_ca_Pber_PBANKA_0714200.1
OG000135,Ap_ca_Pber_PBANKA_1213900.1
OG000137,Ap_ca_Pber_PBANKA_1225000.1
OG000138,Ap_ca_Pber_PBANKA_1326400.1
OG000139,Ap_ca_Pber_PBANKA_1365200.1
OG000140,Ap_ca_Pber_PBANKA_1318900.1
OG000141,Ap_ca_Pber_PBANKA_0203100.1
OG000142,Ap_ca_Pber_PBANKA_1117700.1
OG000143,Ap_ca_Pber_PBANKA_0706700.1
OG000144,Ap_ca_Pber_PBANKA_0819500.1
OG000145,Ap_ca_Pber_PBANKA_0506600.1
OG000146,Ap_ca_Pber_PBANKA_1319200.1
OG000147,Ap_ca_Pber_PBANKA_1034100.1
OG000148,Ap_ca_Pber_PBANKA_0939600.1
OG000149,Ap_ca_Pber_PBANKA_1010500.1
OG000150,Ap_ca_Pber_PBANKA_0416200.1
OG000151,Ap_ca_Pber_PBANKA_1233500.1
OG000152,Ap_ca_Pber_PBANKA_1122300.1
OG000153,Ap_ca_Pber_PBANKA_0939500.1
OG000154,Ap_ca_Pber_PBANKA_0502500.1
OG000155,Ap_ca_Pber_PBANKA_0820200.1
OG000156,Ap_ca_Pber_PBANKA_1018400.1
OG000157,Ap_ca_Pber_PBANKA_0809800.1
OG000158,Ap_ca_Pber_PBANKA_1331700.1
OG000159,Ap_ca_Pber_PBANKA_1136700.1
OG000161,Ap_ca_Pber_PBANKA_0523500.1
OG000162,Ap_ca_Pber_PBANKA_0901600.1
OG000163,Ap_ca_Pber_PBANKA_1018200.1
OG000164,Ap_ca_Pber_PBANKA_0105500.1
OG000165,Ap_ca_Pber_PBANKA_0712600.1
OG000166,Ap_ca_Pber_PBANKA_0931300.1
OG000167,Ap_ca_Pber_PBANKA_1106500.1
OG000168,Ap_ca_Pber_PBANKA_0410400.1
OG000171,Ap_ca_Pber_PBANKA_0517200.1
OG000172,Ap_ca_Pber_PBANKA_1463700.1
OG000173,Ap_ca_Pber_PBANKA_1306800.1
OG000174,Ap_ca_Pber_PBANKA_0603900.1
OG000175,Ap_ca_Pber_PBANKA_1359300.1
OG000176,Ap_ca_Pber_PBANKA_0915600.1
OG000177,Ap_ca_Pber_PBANKA_1343800.1
OG000178,Ap_ca_Pber_PBANKA_1126800.1
OG000179,Ap_ca_Pber_PBANKA_1037500.1
OG000180,Ap_ca_Pber_PBANKA_1125200.1
OG000182,Ap_ca_Pber_PBANKA_1036700.1
OG000183,Ap_ca_Pber_PBANKA_0834400.1
OG000184,Ap_ca_Pber_PBANKA_1242700.1
OG000185,Ap_ca_Pber_PBANKA_1419700.1
OG000186,Ap_ca_Pber_PBANKA_1008200.1
OG000187,Ap_ca_Pber_PBANKA_0412900.1
OG000188,Ap_ca_Pber_PBANKA_0924200.1
OG000189,Ap_ca_Pber_PBANKA_1427500.1
OG000191,Ap_ca_Pber_PBANKA_0520000.1
OG000194,Ap_ca_Pber_PBANKA_0915100.1
OG000196,Ap_ca_Pber_PBANKA_1410300.1
OG000197,Ap_ca_Pber_PBANKA_1236100.1
OG000198,Ap_ca_Pber_PBANKA_0412800.1
OG000199,Ap_ca_Pber_PBANKA_1422700.1
OG000203,Ap_ca_Pber_PBANKA_0505600.1
OG000204,Ap_ca_Pber_PBANKA_0832900.1
OG000206,Ap_ca_Pber_PBANKA_1023400.1
OG000207,Ap_ca_Pber_PBANKA_0940900.1
OG000208,Ap_ca_Pber_PBANKA_0918800.1
OG000210,Ap_ca_Pber_PBANKA_0941900.1
OG000211,Ap_ca_Pber_PBANKA_0806100.1
OG000212,Ap_ca_Pber_PBANKA_1135600.1
OG000213,Ap_ca_Pber_PBANKA_1108700.1
OG000214,Ap_ca_Pber_PBANKA_1332000.1
OG000215,Ap_ca_Pber_PBANKA_0520400.1
OG000216,Ap_ca_Pber_PBANKA_1109400.1
OG000217,Ap_ca_Pber_PBANKA_0824000.1
OG000218,Ap_ca_Pber_PBANKA_0203000.1
OG000220,Ap_ca_Pber_PBANKA_1233200.1
OG000221,Ap_ca_Pber_PBANKA_0903400.1
OG000222,Ap_ca_Pber_PBANKA_0810600.1
OG000225,Ap_ca_Pber_PBANKA_1007200.1
OG000226,Ap_ca_Pber_PBANKA_1027000.1
OG000227,Ap_ca_Pber_PBANKA_1131800.1
OG000228,Ap_ca_Pber_PBANKA_1214000.1
OG000229,Ap_ca_Pber_PBANKA_0522400.1
OG000230,Ap_ca_Pber_PBANKA_0305000.1
OG000231,Ap_ca_Pber_PBANKA_0307200.1
OG000232,Ap_ca_Pber_PBANKA_1040100.1
OG000233,Ap_ca_Pber_PBANKA_0820900.1
OG000234,Ap_ca_Pber_PBANKA_1326000.1
OG000235,Ap_ca_Pber_PBANKA_0510600.1
OG000237,Ap_ca_Pber_PBANKA_1430800.1
OG000239,Ap_ca_Pber_PBANKA_1332800.1
OG000240,Ap_ca_Pber_PBANKA_1234000.1
OG000241,Ap_ca_Pber_PBANKA_1140500.1
OG000243,Ap_ca_Pber_PBANKA_0702100.1
OG000244,Ap_ca_Pber_PBANKA_0304600.1
OG000245,Ap_ca_Pber_PBANKA_1328900.1
OG000247,Ap_ca_Pber_PBANKA_0522900.1
OG000249,Ap_ca_Pber_PBANKA_0824800.1
OG000250,Ap_ca_Pber_PBANKA_0100900.1
OG000251,Ap_ca_Pber_PBANKA_1347200.1
OG000253,Ap_ca_Pber_PBANKA_1320500.1
OG000255,Ap_ca_Pber_PBANKA_0604400.1
OG000256,Ap_ca_Pber_PBANKA_0704400.1
OG000257,Ap_ca_Pber_PBANKA_1133800.1
OG000258,Ap_ca_Pber_PBANKA_1245300.1
OG000260,Ap_ca_Pber_PBANKA_1027400.1
OG000261,Ap_ca_Pber_PBANKA_1036600.1
OG000262,Ap_ca_Pber_PBANKA_0930200.1
OG000263,Ap_ca_Pber_PBANKA_1458300.1
OG000264,Ap_ca_Pber_PBANKA_0701300.1
OG000265,Ap_ca_Pber_PBANKA_1346600.1
OG000266,Ap_ca_Pber_PBANKA_0506800.1
OG000267,Ap_ca_Pber_PBANKA_1327021.1
OG000268,Ap_ca_Pber_PBANKA_1356700.1
OG000269,Ap_ca_Pber_PBANKA_1137200.1
OG000270,Ap_ca_Pber_PBANKA_1142400.1
OG000272,Ap_ca_Pber_PBANKA_1143400.1
OG000273,Ap_ca_Pber_PBANKA_0929600.1
OG000274,Ap_ca_Pber_PBANKA_1306100.1
OG000275,Ap_ca_Pber_PBANKA_1020900.1
OG000276,Ap_ca_Pber_PBANKA_1131900.1
OG000277,Ap_ca_Pber_PBANKA_0922600.1
OG000278,Ap_ca_Pber_PBANKA_0943200.1
OG000279,Ap_ca_Pber_PBANKA_1227400.1
OG000280,Ap_ca_Pber_PBANKA_0518800.1
OG000281,Ap_ca_Pber_PBANKA_1223800.1
OG000282,Ap_ca_Pber_PBANKA_0806200.1
OG000284,Ap_ca_Pber_PBANKA_1447700.1
OG000285,Ap_ca_Pber_PBANKA_0924400.1
OG000287,Ap_ca_Pber_PBANKA_0718100.1
OG000288,Ap_ca_Pber_PBANKA_1213700.1
OG000289,Ap_ca_Pber_PBANKA_0811900.1
OG000290,Ap_ca_Pber_PBANKA_1016100.1
OG000293,Ap_ca_Pber_PBANKA_1214300.1
OG000294,Ap_ca_Pber_PBANKA_0311800.1
OG000296,Ap_ca_Pber_PBANKA_1231700.1
OG000297,Ap_ca_Pber_PBANKA_0610500.1
OG000298,Ap_ca_Pber_PBANKA_0801900.1
OG000299,Ap_ca_Pber_PBANKA_1461400.1
OG000301,Ap_ca_Pber_PBANKA_1329500.1
OG000302,Ap_ca_Pber_PBANKA_1323800.1
OG000303,Ap_ca_Pber_PBANKA_1205100.1
OG000304,Ap_ca_Pber_PBANKA_0105800.1
OG000305,Ap_ca_Pber_PBANKA_1239200.1
OG000306,Ap_ca_Pber_PBANKA_1360000.1
OG000307,Ap_ca_Pber_PBANKA_1423300.1
OG000308,Ap_ca_Pber_PBANKA_1425100.1
OG000312,Ap_ca_Pber_PBANKA_0823400.1
OG000313,Ap_ca_Pber_PBANKA_0905700.1
OG000314,Ap_ca_Pber_PBANKA_1302400.1
OG000315,Ap_ca_Pber_PBANKA_0310300.1
OG000316,Ap_ca_Pber_PBANKA_0701500.1
OG000317,Ap_ca_Pber_PBANKA_1340300.1
OG000318,Ap_ca_Pber_PBANKA_1102000.1
OG000319,Ap_ca_Pber_PBANKA_1238200.1
OG000320,Ap_ca_Pber_PBANKA_0205900.1
OG000321,Ap_ca_Pber_PBANKA_1451600.1
OG000325,Ap_ca_Pber_PBANKA_1125300.1
OG000327,Ap_ca_Pber_PBANKA_1331800.1
OG000330,Ap_ca_Pber_PBANKA_0806500.1
OG000331,Ap_ca_Pber_PBANKA_1033600.1
OG000332,Ap_ca_Pber_PBANKA_0817000.1
OG000333,Ap_ca_Pber_PBANKA_0921800.1
OG000334,Ap_ca_Pber_PBANKA_1131400.1
OG000335,Ap_ca_Pber_PBANKA_1136900.1
OG000336,Ap_ca_Pber_PBANKA_1142900.1
OG000337,Ap_ca_Pber_PBANKA_0418200.1
OG000339,Ap_ca_Pber_PBANKA_0712000.1
OG000340,Ap_ca_Pber_PBANKA_1400600.1
OG000341,Ap_ca_Pber_PBANKA_1314600.1
OG000342,Ap_ca_Pber_PBANKA_1025900.1
OG000343,Ap_ca_Pber_PBANKA_1422200.1
OG000344,Ap_ca_Pber_PBANKA_1362600.1
OG000345,Ap_ca_Pber_PBANKA_0823100.1
OG000346,Ap_ca_Pber_PBANKA_0610800.1
OG000347,Ap_ca_Pber_PBANKA_1127000.1
OG000348,Ap_ca_Pber_PBANKA_0107700.1
OG000349,Ap_ca_Pber_PBANKA_0615400.1
OG000350,Ap_ca_Pber_PBANKA_0834800.1
OG000351,Ap_ca_Pber_PBANKA_0404700.1
OG000354,Ap_ca_Pber_PBANKA_0204000.1
OG000355,Ap_ca_Pber_PBANKA_0933700.1
OG000356,Ap_ca_Pber_PBANKA_1027500.1
OG000357,Ap_ca_Pber_PBANKA_1038000.1
OG000358,Ap_ca_Pber_PBANKA_0416500.1
OG000359,Ap_ca_Pber_PBANKA_1020400.1
OG000360,Ap_ca_Pber_PBANKA_1211300.1
OG000361,Ap_ca_Pber_PBANKA_0405500.1
OG000364,Ap_ca_Pber_PBANKA_1350600.1
OG000365,Ap_ca_Pber_PBANKA_0501300.1
OG000366,Ap_ca_Pber_PBANKA_0708600.1
OG000368,Ap_ca_Pber_PBANKA_0938600.1
OG000369,Ap_ca_Pber_PBANKA_0714300.1
OG000370,Ap_ca_Pber_PBANKA_0607600.1
OG000371,Ap_ca_Pber_PBANKA_1441400.1
OG000374,Ap_ca_Pber_PBANKA_1354300.1
OG000375,Ap_ca_Pber_PBANKA_1363800.1
OG000376,Ap_ca_Pber_PBANKA_0101000.1
OG000377,Ap_ca_Pber_PBANKA_1360600.1
OG000378,Ap_ca_Pber_PBANKA_0707200.1
OG000379,Ap_ca_Pber_PBANKA_0835800.1
OG000382,Ap_ca_Pber_PBANKA_1032600.1
OG000383,Ap_ca_Pber_PBANKA_1313400.1
OG000384,Ap_ca_Pber_PBANKA_1035700.1
OG000388,Ap_ca_Pber_PBANKA_1203300.1
OG000392,Ap_ca_Pber_PBANKA_1401700.1
OG000393,Ap_ca_Pber_PBANKA_0610100.1
OG000394,Ap_ca_Pber_PBANKA_1402600.1
OG000396,Ap_ca_Pber_PBANKA_1361000.1
OG000397,Ap_ca_Pber_PBANKA_0303900.1
OG000398,Ap_ca_Pber_PBANKA_1114900.1
OG000399,Ap_ca_Pber_PBANKA_1433500.1
OG000400,Ap_ca_Pber_PBANKA_1361500.1
OG000401,Ap_ca_Pber_PBANKA_1440700.1
OG000402,Ap_ca_Pber_PBANKA_1124500.1
OG000403,Ap_ca_Pber_PBANKA_0815200.1
OG000404,Ap_ca_Pber_PBANKA_0524200.1
OG000406,Ap_ca_Pber_PBANKA_0519700.1
OG000407,Ap_ca_Pber_PBANKA_0816400.1
OG000408,Ap_ca_Pber_PBANKA_1104200.1
OG000409,Ap_ca_Pber_PBANKA_0932900.1
OG000414,Ap_ca_Pber_PBANKA_1126000.1
OG000415,Ap_ca_Pber_PBANKA_1224400.1
OG000418,Ap_ca_Pber_PBANKA_0706500.1
OG000419,Ap_ca_Pber_PBANKA_1006100.1
OG000421,Ap_ca_Pber_PBANKA_1402000.1
OG000422,Ap_ca_Pber_PBANKA_1126500.1
OG000423,Ap_ca_Pber_PBANKA_0703900.1
OG000424,Ap_ca_Pber_PBANKA_1309900.1
OG000427,Ap_ca_Pber_PBANKA_0305600.1
OG000428,Ap_ca_Pber_PBANKA_1363000.1
OG000429,Ap_ca_Pber_PBANKA_1402700.1
OG000430,Ap_ca_Pber_PBANKA_1432400.1
OG000431,Ap_ca_Pber_PBANKA_0928100.1
OG000432,Ap_ca_Pber_PBANKA_0921500.1
OG000434,Ap_ca_Pber_PBANKA_0828300.1
OG000435,Ap_ca_Pber_PBANKA_1430400.1
OG000436,Ap_ca_Pber_PBANKA_1030600.1
OG000437,Ap_ca_Pber_PBANKA_1231400.1
OG000438,Ap_ca_Pber_PBANKA_0934300.1
OG000439,Ap_ca_Pber_PBANKA_1345000.1
OG000440,Ap_ca_Pber_PBANKA_0313300.1
OG000441,Ap_ca_Pber_PBANKA_0405700.1
OG000443,Ap_ca_Pber_PBANKA_0401100.1
OG000444,Ap_ca_Pber_PBANKA_1011400.1
OG000447,Ap_ca_Pber_PBANKA_0513600.1
OG000448,Ap_ca_Pber_PBANKA_1346000.1
OG000449,Ap_ca_Pber_PBANKA_0414100.1
OG000450,Ap_ca_Pber_PBANKA_1418200.1
OG000451,Ap_ca_Pber_PBANKA_0202300.1
OG000452,Ap_ca_Pber_PBANKA_0407700.1
OG000454,Ap_ca_Pber_PBANKA_0622500.1
OG000455,Ap_ca_Pber_PBANKA_0903900.1
OG000456,Ap_ca_Pber_PBANKA_1238800.1
OG000457,Ap_ca_Pber_PBANKA_1205000.1
OG000458,Ap_ca_Pber_PBANKA_1338700.1
OG000459,Ap_ca_Pber_PBANKA_0811700.1
OG000460,Ap_ca_Pber_PBANKA_1235600.1
OG000462,Ap_ca_Pber_PBANKA_0504100.1
OG000464,Ap_ca_Pber_PBANKA_1010300.1
OG000465,Ap_ca_Pber_PBANKA_0308600.1
OG000466,Ap_ca_Pber_PBANKA_0315200.1
OG000467,Ap_ca_Pber_PBANKA_1450200.1
OG000468,Ap_ca_Pber_PBANKA_1456200.1
OG000469,Ap_ca_Pber_PBANKA_1244600.1
OG000473,Ap_ca_Pber_PBANKA_1218900.1
OG000474,Ap_ca_Pber_PBANKA_0943100.1
OG000478,Ap_ca_Pber_PBANKA_1319500.1
OG000480,Ap_ca_Pber_PBANKA_1003800.1
OG000481,Ap_ca_Pber_PBANKA_1144000.1
OG000482,Ap_ca_Pber_PBANKA_0602700.1
OG000483,Ap_ca_Pber_PBANKA_0601100.1
OG000486,Ap_ca_Pber_PBANKA_1345600.1
OG000487,Ap_ca_Pber_PBANKA_0821700.1
OG000488,Ap_ca_Pber_PBANKA_1317200.1
OG000489,Ap_ca_Pber_PBANKA_1446900.1
OG000490,Ap_ca_Pber_PBANKA_1033800.1
OG000493,Ap_ca_Pber_PBANKA_0904500.1
OG000494,Ap_ca_Pber_PBANKA_1307400.1
OG000495,Ap_ca_Pber_PBANKA_0931400.1
OG000497,Ap_ca_Pber_PBANKA_1214100.1
OG000498,Ap_ca_Pber_PBANKA_1007000.1
OG000500,Ap_ca_Pber_PBANKA_1124000.1
OG000501,Ap_ca_Pber_PBANKA_0929500.1
OG000502,Ap_ca_Pber_PBANKA_1349200.1
OG000505,Ap_ca_Pber_PBANKA_1216200.1
OG000506,Ap_ca_Pber_PBANKA_1448500.1
OG000507,Ap_ca_Pber_PBANKA_1227000.1
OG000508,Ap_ca_Pber_PBANKA_1025400.1
OG000509,Ap_ca_Pber_PBANKA_1308400.1
OG000510,Ap_ca_Pber_PBANKA_1030900.1
OG000511,Ap_ca_Pber_PBANKA_0701400.1
OG000512,Ap_ca_Pber_PBANKA_0904100.1
OG000513,Ap_ca_Pber_PBANKA_0709300.1
OG000515,Ap_ca_Pber_PBANKA_1456800.1
OG000516,Ap_ca_Pber_PBANKA_0619900.1
OG000517,Ap_ca_Pber_PBANKA_0615100.1
OG000518,Ap_ca_Pber_PBANKA_1137500.1
OG000519,Ap_ca_Pber_PBANKA_1448200.1
OG000520,Ap_ca_Pber_PBANKA_1445400.1
OG000521,Ap_ca_Pber_PBANKA_0929000.1
OG000522,Ap_ca_Pber_PBANKA_0308800.1
OG000523,Ap_ca_Pber_PBANKA_0504300.1
OG000524,Ap_ca_Pber_PBANKA_1306200.1
OG000525,Ap_ca_Pber_PBANKA_1315400.1
OG000526,Ap_ca_Pber_PBANKA_0932500.1
OG000527,Ap_ca_Pber_PBANKA_0941500.1
OG000530,Ap_ca_Pber_PBANKA_1141500.1
OG000531,Ap_ca_Pber_PBANKA_0106000.1
OG000532,Ap_ca_Pber_PBANKA_0211300.1
OG000534,Ap_ca_Pber_PBANKA_0511900.1
OG000535,Ap_ca_Pber_PBANKA_0407900.1
OG000537,Ap_ca_Pber_PBANKA_1028400.1
OG000538,Ap_ca_Pber_PBANKA_0201800.1
OG000539,Ap_ca_Pber_PBANKA_0617100.1
OG000540,Ap_ca_Pber_PBANKA_1234600.1
OG000541,Ap_ca_Pber_PBANKA_1351100.1
OG000542,Ap_ca_Pber_PBANKA_1227600.1
OG000543,Ap_ca_Pber_PBANKA_1141300.1
OG000544,Ap_ca_Pber_PBANKA_1111000.1
OG000546,Ap_ca_Pber_PBANKA_0933600.1
OG000547,Ap_ca_Pber_PBANKA_1237300.1
OG000549,Ap_ca_Pber_PBANKA_1352000.1
OG000551,Ap_ca_Pber_PBANKA_1118700.1
OG000553,Ap_ca_Pber_PBANKA_1031100.1
OG000554,Ap_ca_Pber_PBANKA_0402800.1
OG000555,Ap_ca_Pber_PBANKA_0922300.1
OG000556,Ap_ca_Pber_PBANKA_1421300.1
OG000557,Ap_ca_Pber_PBANKA_1360500.1
OG000558,Ap_ca_Pber_PBANKA_0304200.1
OG000559,Ap_ca_Pber_PBANKA_0302300.1
OG000560,Ap_ca_Pber_PBANKA_1460500.1
OG000561,Ap_ca_Pber_PBANKA_1022600.1
OG000562,Ap_ca_Pber_PBANKA_1432700.1
OG000565,Ap_ca_Pber_PBANKA_0512100.1
OG000566,Ap_ca_Pber_PBANKA_1434200.1
OG000567,Ap_ca_Pber_PBANKA_1016800.1
OG000568,Ap_ca_Pber_PBANKA_1429600.1
OG000569,Ap_ca_Pber_PBANKA_0300800.1
OG000570,Ap_ca_Pber_PBANKA_1344400.1
OG000571,Ap_ca_Pber_PBANKA_1325600.1
OG000572,Ap_ca_Pber_PBANKA_1036100.1
OG000573,Ap_ca_Pber_PBANKA_0307600.1
OG000576,Ap_ca_Pber_PBANKA_1423500.1
OG000577,Ap_ca_Pber_PBANKA_1234800.1
OG000580,Ap_ca_Pber_PBANKA_0822900.1
OG000581,Ap_ca_Pber_PBANKA_0508400.1
OG000582,Ap_ca_Pber_PBANKA_0831700.1
OG000584,Ap_ca_Pber_PBANKA_1108000.1
OG000585,Ap_ca_Pber_PBANKA_0210200.1
OG000589,Ap_ca_Pber_PBANKA_1333800.1
OG000590,Ap_ca_Pber_PBANKA_1019500.1
OG000591,Ap_ca_Pber_PBANKA_1358600.1
OG000592,Ap_ca_Pber_PBANKA_1115400.1
OG000593,Ap_ca_Pber_PBANKA_0943600.1
OG000594,Ap_ca_Pber_PBANKA_0815000.1
OG000595,Ap_ca_Pber_PBANKA_0835300.1
OG000596,Ap_ca_Pber_PBANKA_0102300.1
OG000598,Ap_ca_Pber_PBANKA_1322000.1
OG000600,Ap_ca_Pber_PBANKA_1026200.1
OG000601,Ap_ca_Pber_PBANKA_1308600.1
OG000602,Ap_ca_Pber_PBANKA_0622300.1
OG000603,Ap_ca_Pber_PBANKA_1416300.1
OG000604,Ap_ca_Pber_PBANKA_0404100.1
OG000605,Ap_ca_Pber_PBANKA_0414500.1
OG000606,Ap_ca_Pber_PBANKA_1364200.1
OG000607,Ap_ca_Pber_PBANKA_0614500.1
OG000609,Ap_ca_Pber_PBANKA_0611600.1
OG000612,Ap_ca_Pber_PBANKA_0930300.1
OG000613,Ap_ca_Pber_PBANKA_1215600.1
OG000614,Ap_ca_Pber_PBANKA_0829700.1
OG000615,Ap_ca_Pber_PBANKA_0824900.1
OG000617,Ap_ca_Pber_PBANKA_0710100.1
OG000618,Ap_ca_Pber_PBANKA_1355900.1
OG000619,Ap_ca_Pber_PBANKA_1347700.1
OG000621,Ap_ca_Pber_PBANKA_1453500.1
OG000622,Ap_ca_Pber_PBANKA_0820700.1
OG000623,Ap_ca_Pber_PBANKA_0509300.1
OG000625,Ap_ca_Pber_PBANKA_0714600.1
OG000626,Ap_ca_Pber_PBANKA_0510900.1
OG000627,Ap_ca_Pber_PBANKA_1355200.1
OG000628,Ap_ca_Pber_PBANKA_0602000.1
OG000629,Ap_ca_Pber_PBANKA_0941200.1
OG000631,Ap_ca_Pber_PBANKA_0506700.1
OG000632,Ap_ca_Pber_PBANKA_0922100.1
OG000633,Ap_ca_Pber_PBANKA_1035300.1
OG000634,Ap_ca_Pber_PBANKA_1106700.1
OG000635,Ap_ca_Pber_PBANKA_0603200.1
OG000637,Ap_ca_Pber_PBANKA_1231000.1
OG000638,Ap_ca_Pber_PBANKA_0410600.1
OG000639,Ap_ca_Pber_PBANKA_1005100.1
OG000641,Ap_ca_Pber_PBANKA_1211500.1
OG000643,Ap_ca_Pber_PBANKA_0414600.1
